Id,Label,indegree,outdegree,degree,modularity_class,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,eigencentrality,pageranks
宁思潇潇,,0,1,1,0,1,1,1,0,0,0.00002
ww2125315,,1,0,1,0,0,0,0,0,0.011354,0.000037
远离消极人3f09,,1,0,1,0,0,0,0,0,0.325764,0.000028
皎若琉璃月,,0,1,1,0,1,1,1,0,0,0.00002
Haaazelzip,,1,0,1,0,0,0,0,0,0.011354,0.000037
oyeahrina,,1,0,1,0,0,0,0,0,0.011354,0.000024
九巳九巳,,1,0,1,0,0,0,0,0,0.042528,0.000022
萝卜粉碎机,,1,0,1,0,0,0,0,0,0.042528,0.000022
三联生活周刊,,0,1,1,0,1,1,1,0,0,0.00002
吴亦凡白敬亭----的爹,,1,0,1,0,0,0,0,0,0.011354,0.000037
过客_66176,,1,0,1,0,0,0,0,0,0.011354,0.000021
加班的日子何时到头,,2,0,2,1,0,0,0,0,0.022708,0.000021
琉玄,,0,2,2,0,1,1,1,0,0,0.00002
九夜龙音,,1,0,1,0,0,0,0,0,0.011354,0.000028
阳光特浓青提玫瑰香,,1,0,1,0,0,0,0,0,0.011354,0.000021
元秋蜜橘,,1,0,1,0,0,0,0,0,0.325764,0.00002
白桃酱酱膏,,1,0,1,0,0,0,0,0,0.011354,0.000024
来碗典明粥,,1,0,1,0,0,0,0,0,0.325764,0.000028
风在吹hu,,1,0,1,0,0,0,0,0,0.011354,0.000021
799-左拥连连右抱约约,,1,0,1,0,0,0,0,0,0.011354,0.000024
Fore_Killy,,1,0,1,0,0,0,0,0,0.042528,0.00002
Fructose97,,0,1,1,0,1,1,1,0,0,0.00002
我不想待在这儿,,1,0,1,0,0,0,0,0,0.011354,0.000037
Corbeauclaws,,5,0,5,0,0,0,0,0,0.402354,0.000022
今天村里下雨了吗Shino,,1,0,1,0,0,0,0,0,0.011354,0.000021
改个名字都能被拒绝两百多次,,1,0,1,0,0,0,0,0,0.042528,0.000022
·鶴辻·,,1,0,1,0,0,0,0,0,0.011354,0.000021
风吹星雨落,,0,1,1,0,1,1,1,0,0,0.00002
白伯伯掰棒冰,,1,0,1,0,0,0,0,0,0.011354,0.000037
东五里第一幽鬼,,1,0,1,0,0,0,0,0,0.011354,0.000028
藿香正气烨,,0,8,8,0,1,1,1,0,0,0.00002
